,Cycle,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,G1,H1
,11,2727.11869440466,2548.16935623809,2671.09750531225,2480.42593197779,2589.62099418518,2528.07597337297,2520.91923144119,2513.57290402343,2509.70828440332,2503.57171122654,2554.25445814698,2510.93831520043,2494.51924906685
,12,2731.97626666617,2554.4224707368,2676.84959257344,2479.89834726924,2591.96126671603,2527.22795984929,2522.51984735285,2511.80557175801,2513.62305112495,2509.87184392081,2560.28308540584,2511.37176326301,2497.78975414366
,13,2738.53215135099,2552.55029049997,2680.53474838824,2486.11607815473,2595.92346498149,2530.43720118302,2526.40175369661,2515.00271224083,2519.49941965235,2509.26055742406,2564.10589397545,2512.54677805964,2503.60286460126
,14,2745.37841846634,2555.73347598395,2682.314278405,2491.63549038756,2599.256560271,2530.58720889759,2525.01802362434,2520.33568985626,2517.33059032415,2512.82597750477,2566.88906320857,2516.96435834264,2503.3237078452
,15,2749.77875738534,2557.29017703416,2685.04517574922,2488.78202666978,2603.73040875688,2535.79388026395,2526.23153912777,2518.04006471241,2519.04990744892,2514.16110307426,2567.32570764525,2521.85266924977,2507.93014012554
,16,2748.37936899475,2558.55304231219,2695.66543623086,2492.16925600963,2604.10407263942,2536.02983739584,2534.11783975087,2523.17457960208,2522.0437282587,2518.27579472242,2576.80624024332,2521.75179692234,2507.08937117269
,17,2758.11789943841,2558.39595755632,2696.21019512542,2496.55149677659,2609.2832014759,2540.29953475247,2532.12787430148,2525.19360497482,2525.60879762382,2527.5021437605,2572.26484387463,2522.89325550592,2511.61192111754
,18,2759.9391684684,2563.35424564737,2700.5327624889,2496.20204024401,2609.90386960598,2541.61920752604,2534.00772404505,2525.27818282046,2526.62521795966,2529.69816444227,2576.38185591165,2530.9389009242,2509.91879494647
,19,2762.6907625826,2564.69263166813,2704.48324739917,2501.38480365028,2610.57719192521,2542.31186157064,2538.69671786054,2531.04357654536,2527.8831257536,2538.45027753179,2576.24648517077,2536.90663391529,2518.97693867149
,20,2765.01803909741,2570.10768173392,2707.34807949239,2501.19066512298,2616.31707213261,2544.90150535946,2542.61610741865,2536.10939978853,2530.76473506173,2551.03107144215,2585.8939074447,2537.91124620863,2516.2507228094
,21,2774.43928938417,2568.0780791313,2713.48404472335,2505.8746065208,2620.21436424453,2552.20978640656,2543.54772314004,2537.41518913051,2533.6532691275,2569.92385593654,2583.94197911351,2541.19031333814,2523.24967042484
,22,2780.77390683913,2571.87352979021,2717.64489195119,2503.86589959451,2623.36642658735,2552.13605257583,2547.17095806214,2538.37765800791,2535.79511637625,2615.17780189825,2584.10896714401,2547.56871293675,2521.11488436369
,23,2784.45519327226,2572.40826941594,2725.67617152195,2505.55632642815,2627.91047733672,2549.83392861521,2550.17071035806,2543.59419023491,2539.53093356944,2689.93726443176,2587.78418484297,2558.86162229673,2522.19561487601
,24,2785.68882476819,2576.7344292497,2725.91162524134,2513.72797946988,2630.39513983421,2557.26912711614,2550.55402479588,2538.87195422414,2542.98842347552,2824.70899846174,2592.68513614842,2576.1623346154,2528.87087571215
,25,2791.98954620471,2577.32095474837,2732.21101523839,2511.52502746948,2633.05878265146,2555.55387648658,2554.95411587291,2547.67690778838,2544.59490514337,3060.77918994127,2594.75543242822,2601.34727434954,2528.6077230708
,26,2801.31162020873,2578.00689615783,2735.13577150439,2515.12996486211,2634.0503110943,2557.14818112246,2556.41696585745,2551.25693825219,2550.80202543329,3444.19259451278,2596.96592923609,2638.96006227277,2529.82616840641
,27,2799.50356145718,2584.22460687909,2743.20150008751,2514.06055320326,2638.09575013332,2557.74123517386,2560.21463587966,2552.22270301695,2551.0301098018,4001.78374365548,2599.85513660195,2694.87162867217,2535.48489638925
,28,2806.42251576667,2588.06188224529,2748.34466236871,2519.81749988975,2643.95777336472,2564.55793504809,2562.57427142507,2552.15786242511,2551.89761945182,4721.7044546059,2603.2261400416,2774.80655412865,2533.55460153747
,29,2810.40246189773,2586.15490161332,2751.86443269341,2524.79796817127,2650.27682015508,2568.33750410098,2564.74546704757,2553.81845933522,2551.87016904051,5513.97439996008,2605.00612778579,2879.57139086239,2537.53335107655
,30,2818.09042750256,2587.52490469257,2756.4139250635,2527.39481517827,2655.26426016349,2568.51481682907,2567.94913720332,2559.38614184652,2561.85041249424,6281.19388304299,2607.65281272562,3021.71619773322,2535.84144291468
