,Cycle,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,G1,H1
,13,2561.88437269409,2450.39883709078,2554.24442942271,2399.24892516521,2498.25447771412,2463.70263648691,2463.67609866728,2430.78171009774,2458.00760118758,2471.8299752524,2492.82990086834,2457.86123146875,2452.81614486575
,14,2567.97388252218,2450.15086446793,2553.90605510579,2397.6034982334,2501.48349104391,2467.09548263986,2461.94627967005,2429.92612649613,2455.83007831222,2473.11593683708,2493.12005911896,2452.19584465486,2451.56188446265
,15,2564.77997029437,2451.79708363954,2557.1296524427,2398.92607963158,2501.3080934069,2466.02236436581,2462.18114675728,2430.74133615509,2454.78112865606,2476.42758575421,2493.07776867149,2453.07172360785,2448.10093331215
,16,2565.37414404371,2447.61751123693,2556.79669201787,2400.61097046668,2504.00198107577,2466.24009128666,2466.07158819543,2431.33694218517,2457.95576203905,2476.97845231907,2492.30615273973,2455.64881920411,2451.94720153528
,17,2565.83322202807,2453.63504625347,2554.65775315204,2402.67964594573,2502.56447053135,2468.49050768592,2462.85500467867,2431.46205099487,2455.02540442298,2479.55720591316,2490.10937937218,2456.55719419172,2449.49556753245
,18,2566.46641520742,2452.50344876449,2557.67320799469,2400.03345616863,2502.3726564513,2466.17366290249,2463.12717080488,2430.85798441985,2454.56429636156,2491.71100509628,2492.7029009577,2459.78988872475,2451.68740216518
,19,2565.60298687321,2451.27172575732,2554.81139466828,2398.40041479558,2502.9421827186,2466.07138948096,2463.39536664838,2433.46759449055,2456.98740354302,2506.42840609066,2494.12172614187,2466.44364105138,2450.99488188588
,20,2571.15337279798,2448.25476590473,2560.46669173231,2401.89010825206,2502.98532854916,2464.41799159126,2463.8158892568,2434.18303914445,2456.73003213148,2533.57217148724,2494.80770725762,2469.99870133065,2451.23340144025
,21,2568.51139172998,2452.70049404791,2557.85006064397,2400.84561005464,2503.8723522018,2466.67098898684,2466.20349930635,2429.94365226389,2457.36436498521,2590.16899910652,2495.00048668161,2485.55378952455,2450.42959413323
,22,2568.63686287376,2453.63751814037,2560.58582374375,2404.33684371277,2503.94374280091,2468.10102427182,2465.56169752988,2432.17217494105,2454.62004603755,2675.6036463893,2495.40932606779,2514.30006952361,2451.81107758129
,23,2569.0049426833,2452.81397926634,2559.70171397916,2403.16528418386,2502.33588926922,2465.68977688258,2465.9281165718,2434.34847359391,2458.28416202433,2811.61481275317,2494.60562740082,2559.26631625938,2445.55353191455
,24,2572.5829913406,2450.41423944535,2561.65117550383,2399.72532332599,2504.88436689639,2463.97859019934,2465.3117653685,2434.58779815972,2453.44188345447,2990.8922385801,2491.46198826875,2642.49731112809,2450.2286114551
,25,2568.98634604503,2452.27438209593,2562.64348401707,2401.62779923354,2504.73086649943,2466.15654807101,2466.37485517472,2433.4207741865,2457.21576437736,3186.45438453901,2491.40126149218,2779.26702704958,2448.13679813319
,26,2571.36154000952,2455.89094116144,2564.09027831205,2401.22804605381,2502.70413292296,2465.72348789354,2462.75732495036,2434.12437413038,2457.87335307482,3381.02041971088,2492.50429835869,2959.61075706884,2446.69480200347
,27,2572.53447563499,2452.30882010656,2564.06959140554,2404.06306186052,2507.91460734716,2466.19922638804,2462.76003910013,2430.8117761666,2456.76398171335,3534.59085069937,2492.59388907516,3176.71840457313,2452.39676867577
,28,2572.31029507112,2451.80697035065,2563.14062474137,2397.69585996105,2504.15567880346,2461.8763579237,2464.26838450672,2432.73837748346,2456.48690556938,3634.86573762599,2492.96277066892,3380.32357796819,2448.94400328623
,29,2577.17818484294,2450.58686066953,2562.86540334285,2399.25859607267,2504.67881552627,2462.38854980803,2463.24945286441,2432.58703485238,2455.77894611109,3679.39886328962,2496.0708644855,3572.66343138855,2452.99789418485
,30,2575.17766094151,2454.51892119332,2561.5642700638,2402.4575497978,2503.60303627516,2465.68033695994,2466.66092709863,2433.29467938167,2454.58496261242,3696.56667145278,2496.33176494836,3720.86248272938,2450.61996669908
,31,2573.76017930718,2452.241194859,2561.19955848801,2400.77405761196,2503.93176360388,2467.68485208406,2465.1015400833,2432.77869663482,2455.8186085784,3695.683598536,2490.02203280151,3833.13163959078,2452.42898928989
,32,2574.29849786019,2453.05867020502,2565.53359655075,2399.16938619546,2506.40970592464,2464.69621782025,2466.21748757844,2433.29504956259,2456.64768629553,3696.24128007697,2496.43903126568,3915.32446907096,2449.06725878313
,33,2577.17819261654,2453.12744785833,2563.95043791964,2401.2539502014,2504.70296430815,2461.84372436984,2467.44206904801,2435.97798280096,2457.8107452309,3689.92611190165,2493.93202648763,3972.63345165855,2453.12520006025
,34,2574.18356925669,2453.12313770313,2565.57681581667,2401.65425858886,2506.74719380023,2463.75188668625,2466.63359144984,2436.5979911856,2457.05841101302,3688.381353631,2495.05150112547,4003.77285721336,2448.53258455384
,35,2579.40778385064,2451.75818922617,2565.03897975659,2402.50507271629,2508.78359786987,2466.02398445547,2466.71429854778,2437.08974336377,2454.53479539301,3686.12871260156,2496.17045531547,4032.72089328163,2447.45052737365
,36,2578.1089751297,2453.04497756983,2566.19433111538,2403.71926943123,2505.58284193488,2463.19990434132,2465.96747016136,2436.50922292,2457.66090777091,3677.98911125763,2494.62757183125,4039.77298458979,2450.49940465701
,37,2576.03991560111,2452.84945658337,2567.70098056563,2403.10182216139,2503.22890060108,2464.11427146422,2465.09718689287,2438.05495968836,2458.71323547591,3671.41707241061,2494.02061192371,4044.01433799542,2450.27834011759
,38,2578.33097383381,2453.14290771901,2565.21409544257,2402.57136887004,2508.85732432457,2466.15424127118,2465.63606647265,2434.67270550909,2457.60314868733,3663.27225483136,2494.98872396053,4044.86103748481,2446.86382075672
,39,2577.6077187109,2452.66346043783,2565.00899582521,2403.38087372854,2510.73548133874,2463.94264123241,2467.47424974487,2433.89844374572,2456.17215356022,3661.74171901511,2493.94221601927,4034.13633401853,2446.48387913783
,40,2576.0893862057,2453.32635129061,2568.77638053922,2399.876334017,2506.02961867108,2464.02203237297,2465.14261297602,2435.67661281207,2453.63734271049,3658.50100707959,2497.51478542603,4027.79681533047,2447.47387803454
,41,2579.40105082513,2453.08612480092,2569.84953046955,2404.30750487267,2508.35962622859,2464.29955178693,2463.8140470776,2435.85657843436,2457.45651204266,3652.96517881015,2493.77823276206,4010.03745372595,2451.52830440995
,42,2585.64813006204,2451.86376220022,2572.85959096352,2405.52425214001,2511.34485458615,2465.39021954861,2467.01919498474,2436.90326257073,2457.21578539,3649.238725883,2493.500162053,3997.36605158892,2450.52385455851
,43,2583.39464378242,2450.15824404563,2570.44257060312,2404.45445068714,2508.52124221207,2462.72437650271,2466.91285904344,2435.26476020594,2459.31746641384,3646.61844578201,2495.06864867086,3993.98486494656,2453.13078294354
,44,2582.18567261832,2452.74775251198,2570.77396261725,2401.6475325804,2509.34585176227,2464.73850324554,2465.81251620646,2436.43874600244,2459.5791433531,3650.20035661593,2492.98562134891,3993.04941972284,2449.37337831601
,45,2585.31964527728,2452.43906299802,2571.83674121464,2406.86957781512,2509.19139168274,2465.98939950911,2467.089107242,2434.48893849703,2458.48084134058,3647.47557447084,2489.55563362229,3999.72476897107,2449.37930696857
